effect_id,study_id_str,outcome_id_str,sex_of_animals,disease_cohort_str,control_cohort_str,time,d.mean,d.sd,d.n,c.mean,c.sd,c.n,title,authors,breeder_strain,GD_first_administration,cross.fost,poly_I_C_daily_dose_mg_kg,intervention.no,year,ro_b_assessment_blinding_of_animal_carers_handlers,ro_b_assessment_blinding_of_outcome_assessors,ro_b_assessment_random_housing,ro_b_assessment_a_priori_power_calculations,ro_b_assessment_conflict_of_interest,ro_b_assessment_unit_of_analysis_error,ro_b_assessment_random_outcome_assessment,ro_b_assessment_presence_of_sequence_generation,ro_b_assessment_baseline_characteristics,ro_b_assessment_allocation_concealment,ro_b_assessment_incomplete_outcome_data,species_of_animal,strain,outcome_label,prepulse_intensity_d_b,pulse_intensity_d_b,prepulse_duration_ms,interstimulus_interval_ms,is_this_ppi_for_a_specific_pre_pulse_intensity_or_averaged_across_multiple,is_this_ppi_for_a_specific_pulse_intensity_or_is_it_averaged_across_multiple,disease_model,acute_or_chronic,duration_days_if_chronic,administration_route,frequency_of_administration_if_chronic,sham_equivalent,vehicle,author,background_db,pre_pulse_level_above_back,d.mean.adj,c.mean.adj,developmental_stage_PPI,polyIC.dose.cat,SMD,SMDV,same_coh_same_PPI_param_diff_time,same_cohort_diff_PPI_param
128,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,4d3e161a-895e-43a8-9245-832744f0f2b2,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,65,9,9,67.3,9.486832981,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,69dB : 120dB : ?ms : ?ms,69,120,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,4,35,32.7,adult,moderate,0.23720706,0.212591827,49,75
129,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,b14e17bd-0a0d-4b86-bff1-e60cb496cebf,mixed ,6c0c0d91-2ec4-417f-b271-bb27bfb1d299,5c007ea8-b136-4055-b064-452f01b6d3e4,90,50.4,32.5714599,10,71.1,36.68242086,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-saline,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,73dB : 110dB : ?ms : ?ms,73,110,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,8,49.6,28.9,adult,moderate,0.571475482,0.208164606,50,74
130,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,b14e17bd-0a0d-4b86-bff1-e60cb496cebf,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,58.3,9,9,68.9,12.64911064,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,73dB : 110dB : ?ms : ?ms,73,110,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,8,41.7,31.1,adult,moderate,0.913522305,0.233072243,51,75
131,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,e9158856-3aad-482e-a44c-c08f5aa391d0,mixed ,6c0c0d91-2ec4-417f-b271-bb27bfb1d299,5c007ea8-b136-4055-b064-452f01b6d3e4,90,60.5,25.93067681,10,46,18.65743819,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-saline,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,69dB : 110dB : ?ms : ?ms,69,110,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,4,39.5,54,adult,moderate,-0.61472615,0.209447206,52,74
132,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,e9158856-3aad-482e-a44c-c08f5aa391d0,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,57.6,14.1,9,49.9,44.58811501,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,69dB : 110dB : ?ms : ?ms,69,110,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,4,42.4,50.1,adult,moderate,-0.217238658,0.212353023,53,75
133,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,ec7cbb4f-b463-4745-88d6-b81827fe99f6,mixed ,6c0c0d91-2ec4-417f-b271-bb27bfb1d299,5c007ea8-b136-4055-b064-452f01b6d3e4,90,60.4,17.39252713,10,72.3,8.854377448,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-saline,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,81dB : 120dB : ?ms : ?ms,81,120,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,16,39.6,27.7,adult,moderate,0.825774876,0.217047604,54,74
134,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,ec7cbb4f-b463-4745-88d6-b81827fe99f6,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,60.4,16.5,9,66.2,22.13594362,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,81dB : 120dB : ?ms : ?ms,81,120,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,16,39.6,33.8,adult,moderate,0.281403656,0.213195006,55,75
135,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,9001289a-b613-4639-86cd-89a55383761e,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,66.1,11.7,9,68,18.65743819,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,73dB : 120dB : ?ms : ?ms,73,120,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,8,33.9,32,adult,moderate,0.1150704,0.211459564,56,75
136,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,9001289a-b613-4639-86cd-89a55383761e,mixed ,6c0c0d91-2ec4-417f-b271-bb27bfb1d299,5c007ea8-b136-4055-b064-452f01b6d3e4,90,68.2,11.70042734,10,74.6,8.538149682,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-saline,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,73dB : 120dB : ?ms : ?ms,73,120,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,8,31.8,25.4,adult,moderate,0.598408044,0.208952305,57,74
137,baf7f354-886f-4fcf-a9b3-eb358fdaf78b,5f0339c2-b5f6-43ad-b69b-cf66f02a9d14,mixed ,db89f660-0a42-4d74-9b86-f21e51cefac4,7989fe6b-9121-4c59-9762-600fb2e73e90,90,48.7,40.8,9,68.2,9.170605214,10,Phenotypic effects of maternal immune activation and early postnatal milieu in mice mutant for the schizophrenia risk gene neuregulin-1.,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,0,9,cross-poly,5,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,81dB : 110dB : ?ms : ?ms,81,110,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,O'Leary C and Desbonnet L and Clarke N and Petit E and Tighe O and Lai D and Harvey R and Waddington JL and O'Tuathaigh C ,65,16,51.3,31.8,adult,moderate,0.647297705,0.222137277,58,75
138,bc66f7ab-480d-4b95-9b76-95da2ea68b09,89c598ab-6cc1-4e93-8c05-6171c3ce6379,mixed ,a746557a-4ee2-43c2-8e00-c41422a7170a,d5d06e3d-52d7-4a1b-ae3e-147b127edfaa,60,23.3,6.008327554,10,51.4,12.64911064,10,Minocycline alleviates behavioral deficits and inhibits microglial activation in the offspring of pregnant mice after administration of polyriboinosinic-polyribocytidilic acid.,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,0,9,0,20,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,82dB : 120dB : 20ms : 100ms,82,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,68,14,76.7,48.6,adult,high,2.71761364,0.384635597,59,76
139,bc66f7ab-480d-4b95-9b76-95da2ea68b09,702f52fd-1acc-425c-89a4-0aca2b99af5a,mixed ,a746557a-4ee2-43c2-8e00-c41422a7170a,d5d06e3d-52d7-4a1b-ae3e-147b127edfaa,60,8.83,7.178370289,10,31.5,11.06797181,10,Minocycline alleviates behavioral deficits and inhibits microglial activation in the offspring of pregnant mice after administration of polyriboinosinic-polyribocytidilic acid.,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,0,9,0,20,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,74dB : 120dB : 20ms : 100ms,74,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,68,6,91.17,68.5,adult,high,2.327345705,0.335413451,60,76
140,bc66f7ab-480d-4b95-9b76-95da2ea68b09,7e8f90fe-f7c1-423d-bb5e-e6e1c4094898,mixed ,a746557a-4ee2-43c2-8e00-c41422a7170a,d5d06e3d-52d7-4a1b-ae3e-147b127edfaa,60,15.2,7.273238618,10,42.7,9.170605214,10,Minocycline alleviates behavioral deficits and inhibits microglial activation in the offspring of pregnant mice after administration of polyriboinosinic-polyribocytidilic acid.,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,0,9,0,20,0,2014,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,78dB : 120dB : 20ms : 100ms,78,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD9,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhu F and Zheng Y and Liu Y and Zhang X and Zhao J ,68,10,84.8,57.3,adult,high,3.181944503,0.453119271,61,76
141,be9238bf-679d-4867-8c47-30221b688c67,daeb2913-3820-4bdb-a73b-bede7e3482aa,male,960bfd99-eb59-488a-a81f-91df0d9e072a,06f77dd4-ce1f-4d59-b98e-e95eca71aa1b,NA,22.5,15.55634919,8,39.6,11.59655121,8,The prolyl oligopeptidase inhibitor IPR19 ameliorates cognitive deficits in mouse models of schizophrenia.,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,0,9.5,0,5,0,2017,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,81dB : ? dB : 20ms : ? ms,81,NA,20,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9.5,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,NA,NA,77.5,60.4,NA,moderate,1.178159728,0.293376886,62,77
142,be9238bf-679d-4867-8c47-30221b688c67,0833e883-9e4a-4fa5-99ba-08e7545dc551,male,960bfd99-eb59-488a-a81f-91df0d9e072a,06f77dd4-ce1f-4d59-b98e-e95eca71aa1b,NA,28.6,11.87939392,8,39.2,11.03086579,8,The prolyl oligopeptidase inhibitor IPR19 ameliorates cognitive deficits in mouse models of schizophrenia.,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,0,9.5,0,5,0,2017,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,90dB : ? dB : 20ms : ? ms,90,NA,20,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9.5,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,NA,NA,71.4,60.8,NA,moderate,0.874122307,0.273877806,63,77
143,be9238bf-679d-4867-8c47-30221b688c67,f21daf60-93f7-472e-99c3-3a772ffe9435,male,960bfd99-eb59-488a-a81f-91df0d9e072a,06f77dd4-ce1f-4d59-b98e-e95eca71aa1b,NA,30.9,11.59655121,8,41.8,14.42497834,8,The prolyl oligopeptidase inhibitor IPR19 ameliorates cognitive deficits in mouse models of schizophrenia.,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,0,9.5,0,5,0,2017,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,85dB : ? dB : 20ms : ? ms,85,NA,20,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9.5,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Prades R and Munarriz-Cuezva E and Urig<c3><bc>en L and Gil-Pisa I and G<c3><b3>mez L and Mendieta L and Royo S and Giralt E and Tarrag<c3><b3> T and Meana JJ ,NA,NA,69.1,58.2,NA,moderate,0.787294452,0.269369767,64,77
186,f2f6364b-4bce-48e4-9a91-8fea7ae094b1,8a84ae3a-80d4-40be-afd0-7d322febce4d,mixed ,f970038d-2756-4ef8-9e7f-2beeb8e15563,2fcc708d-03a5-4372-90f3-b42223c76092,84,38.5,59.11818671,14,58.9,43.70491963,17,The maternal immune activation model uncovers a role for the Arx gene in GABAergic dysfunction in schizophrenia.,"Nakamura, Jay P and Schroeder, Anna and Hudson, Matthew and Jones, Nigel and Gillespie, Brendan and Du, Xin and Notaras, Michael and Swaminathan, Vaidy and Reay, William R and Atkins, Joshua R and Green, Melissa J and Carr, Vaughan J and Cairns, Murray J and Sundram, Suresh and Hill, Rachel A ",0,17.5,0,20,0,2019,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,78dB : 115dB : 20ms : 100ms,78,115,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD17.5,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Nakamura, Jay P and Schroeder, Anna and Hudson, Matthew and Jones, Nigel and Gillespie, Brendan and Du, Xin and Notaras, Michael and Swaminathan, Vaidy and Reay, William R and Atkins, Joshua R and Green, Melissa J and Carr, Vaughan J and Cairns, Murray J and Sundram, Suresh and Hill, Rachel A ",70,8,61.5,41.1,adult,high,0.388093051,0.132681395,65,11
199,f71aeaeb-c560-499e-8fcb-4f2c6d1c260b,69aee37f-08c4-4918-81c6-cd9dcba52137,male,98e5b83b-3e30-4eef-b3a9-00bcd02284d5,bfcb7667-971b-463c-bef8-8933175f1273,70,32.2,17.07629936,10,48.4,14.862705,10,Nurr1 is not essential for the development of prepulse inhibition deficits induced by prenatal immune activation.,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",0,9,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,71dB : 120dB : 20ms : 100ms,71,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9 ,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",65,6,67.8,51.6,adult,moderate,0.969143908,0.223480998,66,78
200,f71aeaeb-c560-499e-8fcb-4f2c6d1c260b,6ea0b923-bb2b-41f2-81b4-4259e77256fe,male,98e5b83b-3e30-4eef-b3a9-00bcd02284d5,bfcb7667-971b-463c-bef8-8933175f1273,70,36.8,23.08462692,10,48,18.02498266,10,Nurr1 is not essential for the development of prepulse inhibition deficits induced by prenatal immune activation.,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",0,9,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,71dB : 110dB : 20ms : 100ms,71,110,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9 ,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",65,6,63.2,52,adult,moderate,0.517899143,0.206705488,67,78
201,f71aeaeb-c560-499e-8fcb-4f2c6d1c260b,874d1fb1-856b-46c9-b0eb-7f1e23bb1d22,male,98e5b83b-3e30-4eef-b3a9-00bcd02284d5,bfcb7667-971b-463c-bef8-8933175f1273,70,58.4,19.28989373,10,71.2,10.43551628,10,Nurr1 is not essential for the development of prepulse inhibition deficits induced by prenatal immune activation.,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",0,9,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,83dB : 110dB : 20ms : 100ms,83,110,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9 ,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",65,18,41.6,28.8,adult,moderate,0.790419456,0.215619073,68,78
202,f71aeaeb-c560-499e-8fcb-4f2c6d1c260b,21127b45-8086-41bc-a859-8654681ee8a6,male,98e5b83b-3e30-4eef-b3a9-00bcd02284d5,bfcb7667-971b-463c-bef8-8933175f1273,70,48.3,16.7600716,10,59.7,12.96533841,10,Nurr1 is not essential for the development of prepulse inhibition deficits induced by prenatal immune activation.,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",0,9,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,77dB : 120dB : 20ms : 100ms,77,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9 ,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",65,12,51.7,40.3,adult,moderate,0.728621314,0.213272225,69,78
203,f71aeaeb-c560-499e-8fcb-4f2c6d1c260b,934345f6-f4af-4228-9e5c-5c0d40371f3a,male,98e5b83b-3e30-4eef-b3a9-00bcd02284d5,bfcb7667-971b-463c-bef8-8933175f1273,70,58.8,15.49516053,10,42.5,26.24690458,10,Nurr1 is not essential for the development of prepulse inhibition deficits induced by prenatal immune activation.,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",0,9,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,83dB : 100dB : 20ms : 100ms,83,100,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9 ,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Vuillermot, St<c3><a9>phanie and Feldon, Joram and Meyer, Urs ",65,18,41.2,57.5,adult,moderate,-0.724269068,0.213114142,70,78
216,2dc93426-d981-4b4b-96e1-9426801a4f9f,009d9a81-dd03-4d42-ac51-4ec0dee70265,male,f2afe66e-2724-405c-8421-acde493aa8ed,b88e1b6a-627b-4cc6-8663-2ef5204fa10,91,15.4,9.070832376,17,19.7,6.3,9,Prenatal immune challenge is an environmental risk factor for brain and behavior change relevant to schizophrenia: evidence from MRI in a mouse model.,"Li, Qi and Cheung, Charlton and Wei, Ran and Hui, Edward S and Feldon, Joram and Meyer, Urs and Chung, Sookja and Chua, Siew E and Sham, Pak C and Wu, Ed X and McAlonan, Grainne M ",0,17,0,5,0,2009,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6N,77dB : 110dB : 20ms : 100ms,77,110,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Li, Qi and Cheung, Charlton and Wei, Ran and Hui, Edward S and Feldon, Joram and Meyer, Urs and Chung, Sookja and Chua, Siew E and Sham, Pak C and Wu, Ed X and McAlonan, Grainne M ",65,12,84.6,80.3,adult,moderate,0.504646469,0.174832103,71,12
